SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AÃ‘O,OID
Metrobús,"",04,41,MB0441,"","",Venustiano Carranza,0,1
Metrobús,"",04,42,MB0442,"","",Venustiano Carranza,0,2
Metrobús,Delegación Cuauhtémoc,04,02,MB0402,11121,Intermedia,Cuauhtémoc,2012,3
Metrobús,Delegación Cuauhtémoc,04,02,MB0402,11121,Intermedia,Cuauhtémoc,2012,4
Metrobús,México Tenochtitlan,04,03,MB0403,"",Intermedia,Cuauhtémoc,0,5
Metrobús,México Tenochtitlan,04,03,MB0403,"",Intermedia,Cuauhtémoc,0,6
Metrobús,Plaza de la República,04,18,MB0418,11142,Intermedia,Cuauhtémoc,2012,7
Metrobús,Plaza de la República,04,18,MB0418,11142,Intermedia,Cuauhtémoc,2012,8
Metrobús,Glorieta de Colón,04,19,MB0419,11127,Transbordo,Cuauhtémoc,2012,9
Metrobús,Glorieta de Colón,04,19,MB0419,11127,Transbordo,Cuauhtémoc,2012,10
Metrobús,Defensoría Pública,04,20,MB0420,"",Intermedia,Cuauhtémoc,0,11
Metrobús,Defensoría Pública,04,20,MB0420,"",Intermedia,Cuauhtémoc,0,12
Metrobús,Vocacional 5,04,21,MB0421,11152,Intermedia,Cuauhtémoc,2012,13
Metrobús,Vocacional 5,04,21,MB0421,11152,Intermedia,Cuauhtémoc,2012,14
Metrobús,Juárez,04,22,MB0422,11131,Transbordo,Cuauhtémoc,2012,15
Metrobús,Juárez,04,22,MB0422,11131,Transbordo,Cuauhtémoc,2012,16
Metrobús,Mercados San Juan,04,23,MB0423,"",Intermedia,Cuauhtémoc,0,17
Metrobús,Mercados San Juan,04,23,MB0423,"",Intermedia,Cuauhtémoc,0,18
Metrobús,Eje Central,04,24,MB0424,"",Intermedia,Cuauhtémoc,0,19
Metrobús,Eje Central,04,24,MB0424,"",Intermedia,Cuauhtémoc,0,20
Metrobús,El Salvador,04,25,MB0425,11124,Intermedia,Cuauhtémoc,2012,21
Metrobús,El Salvador,04,25,MB0425,11124,Intermedia,Cuauhtémoc,2012,22
Metrobús,Isabel La Católica,04,26,MB0426,11130,Intermedia,Cuauhtémoc,2012,23
Metrobús,Isabel La Católica,04,26,MB0426,11130,Intermedia,Cuauhtémoc,2012,24
Metrobús,20 de Noviembre,04,"","","",Intermedia,Cuauhtémoc,0,25
Metrobús,Museo de la Ciudad,04,27,MB0427,11139,Intermedia,Cuauhtémoc,2012,26
Metrobús,Pino Suárez,04,28,MB0428,11141,Intermedia,Cuauhtémoc,2012,27
Metrobús,Las Cruces Sur,04,30,MB0430,11134,Intermedia,Cuauhtémoc,2012,28
Metrobús,San Pablo,04,"","","",Intermedia,Cuauhtémoc,0,29
Metrobús,La Merced,04,32,MB0432,"",Intermedia,Cuauhtémoc,0,30
Metrobús,Mercado de Sonora Sur,04,"","","",Intermedia,Cuauhtémoc,0,31
Metrobús,Cecilio Robelo,04,34,MB0434,11119,Intermedia,Venustiano Carranza,2012,32
Metrobús,Cecilio Robelo,04,34,MB0434,11119,Intermedia,Venustiano Carranza,2012,33
Metrobús,Eduardo Molina,04,35,MB0435,11122,Intermedia,Venustiano Carranza,2012,34
Metrobús,Hospital Balbuena,04,36,MB0436,11129,Intermedia,Venustiano Carranza,2012,35
Metrobús,Moctezuma,04,37,MB0437,11137,Transbordo,Venustiano Carranza,2012,36
Metrobús,"",04,43,MB0443,"","",Venustiano Carranza,0,37
Metrobús,"",04,43,MB0443,"","",Venustiano Carranza,0,38
Metrobús,Archivo General de la Nación,04,14,MB0414,11116,Transbordo,Venustiano Carranza,2012,39
Metrobús,Archivo General de la Nación,04,14,MB0414,11116,Transbordo,Venustiano Carranza,2012,40
Metrobús,Morelos,04,13,MB0413,11138,Intermedia,Venustiano Carranza,2012,41
Metrobús,Morelos,04,13,MB0413,11138,Intermedia,Venustiano Carranza,2012,42
Metrobús,Ferrocarril de Cintura,04,12,MB0412,11126,Intermedia,Venustiano Carranza,2012,43
Metrobús,Ferrocarril de Cintura,04,12,MB0412,11126,Intermedia,Venustiano Carranza,2012,44
Metrobús,Mixcalco,04,11,MB0411,11136,Intermedia,Cuauhtémoc / Venustiano Carranza,2012,45
Metrobús,Mixcalco,04,11,MB0411,11136,Intermedia,Cuauhtémoc / Venustiano Carranza,2012,46
Metrobús,Teatro del Pueblo,04,10,MB0410,11149,Intermedia,Cuauhtémoc,2012,47
Metrobús,Teatro del Pueblo,04,10,MB0410,11149,Intermedia,Cuauhtémoc,2012,48
Metrobús,República de Argentina,04,09,MB0409,11145,Intermedia,Cuauhtémoc,2012,49
Metrobús,República de Argentina,04,09,MB0409,11145,Intermedia,Cuauhtémoc,2012,50
Metrobús,República de Chile,04,08,MB0408,11146,Intermedia,Cuauhtémoc,2012,51
Metrobús,República de Chile,04,08,MB0408,11146,Intermedia,Cuauhtémoc,2012,52
Metrobús,Teatro Blanquita,04,07,MB0407,11148,Intermedia,Cuauhtémoc,2012,53
Metrobús,Teatro Blanquita,04,07,MB0407,11148,Intermedia,Cuauhtémoc,2012,54
Metrobús,Bellas Artes,04,06,MB0406,11117,Intermedia,Cuauhtémoc,2012,55
Metrobús,Bellas Artes,04,06,MB0406,11117,Intermedia,Cuauhtémoc,2012,56
Metrobús,Hidalgo,04,05,MB0405,11128,Transbordo,Cuauhtémoc,2012,57
Metrobús,Hidalgo,04,05,MB0405,11128,Transbordo,Cuauhtémoc,2012,58
Metrobús,Museo San Carlos,04,04,MB0404,11140,Intermedia,Cuauhtémoc,2012,59
Metrobús,Museo San Carlos,04,04,MB0404,11140,Intermedia,Cuauhtémoc,2012,60
Metrobús,"",04,01,MB0401,11118,Terminal / Transbordo,Cuauhtémoc,2012,61
Metrobús,"",04,38,MB0438,"",Terminal,Venustiano Carranza,2021,62
Metrobús,Calle 6,04,39,MB0439,"",Intermedia,Venustiano Carranza / Iztacalco,2022,63
Metrobús,"",04,40,MB0440,"",Terminal,Venustiano Carranza / Estado de México - Nezahualcóyotl,2022,64
Metrobús,Mercado de Sonora,04,33,MB0433,11135,Intermedia,Venustiano Carranza,2012,65
Metrobús,Pino Suárez Sur,04,"","","",Intermedia,Cuauhtémoc,0,66
Metrobús,Deportivo 18 de Marzo,01,02,MB0102,11013,Transbordo,Gustavo A. Madero,2005,67
Metrobús,Eúzkaro,01,03,MB0103,11018,Intermedia,Gustavo A. Madero,2005,68
Metrobús,Potrero,01,04,MB0104,11038,Intermedia,Gustavo A. Madero,2005,69
Metrobús,La Raza,01,05,MB0105,11029,Transbordo,Gustavo A. Madero,2005,70
Metrobús,Circuito,01,06,MB0106,11008,Transbordo,Cuauhtémoc,2005,71
Metrobús,San Simón,01,07,MB0107,11042,Intermedia,Cuauhtémoc,2005,72
Metrobús,Manuel González,01,08,MB0108,11030,Intermedia,Cuauhtémoc,2005,73
Metrobús,Buenavista,01,09,MB0109,11004,Transbordo,Cuauhtémoc,2005,74
Metrobús,El Chopo,01,10,MB0110,11017,Intermedia,Cuauhtémoc,2005,75
Metrobús,Revolución,01,11,MB0111,11040,Intermedia,Cuauhtémoc,2005,76
Metrobús,Plaza de la República,01,12,MB0112,11036,Transbordo,Cuauhtémoc,2005,77
Metrobús,Reforma,01,13,MB0113,11039,Transbordo,Cuauhtémoc,2005,78
Metrobús,Hamburgo,01,14,MB0114,11023,Transbordo,Cuauhtémoc,2005,79
Metrobús,"",01,15,MB0115,11022,Terminal,Cuauhtémoc,2005,80
Metrobús,Durango,01,16,MB0116,11015,Intermedia,Cuauhtémoc,2005,81
Metrobús,Álvaro Obregón,01,17,MB0117,11002,Intermedia,Cuauhtémoc,2005,82
Metrobús,Sonora,01,18,MB0118,11044,Intermedia,Cuauhtémoc,2005,83
Metrobús,Campeche,01,19,MB0119,11005,Intermedia,Cuauhtémoc,2005,84
Metrobús,Chilpancingo,01,20,MB0120,11007,Intermedia,Cuauhtémoc,2005,85
Metrobús,Nuevo León,01,21,MB0121,11032,Transbordo,Cuauhtémoc,2005,86
Metrobús,La Piedad,01,22,MB0122,11028,Transbordo,Benito Juárez,2005,87
Metrobús,Polifórum,01,23,MB0123,11037,Transbordo,Benito Juárez,2005,88
Metrobús,Nápoles,01,24,MB0124,11031,Transbordo,Benito Juárez,2005,89
Metrobús,Colonia del Valle,01,25,MB0125,11011,Transbordo,Benito Juárez,2005,90
Metrobús,Ciudad de los Deportes,01,26,MB0126,11009,Intermedia,Benito Juárez,2005,91
Metrobús,Parque Hundido,01,27,MB0127,11034,Intermedia,Benito Juárez,2005,92
Metrobús,Félix Cuevas,01,28,MB0128,11019,Intermedia,Benito Juárez,2005,93
Metrobús,Río Churubusco,01,29,MB0129,11041,Intermedia,Benito Juárez,2005,94
Metrobús,Teatro de los Insurgentes,01,30,MB0130,11045,Intermedia,Benito Juárez,2005,95
Metrobús,José María Velasco,01,31,MB0131,11025,Intermedia,Benito Juárez / Álvaro Obregón,2005,96
Metrobús,Francia,01,32,MB0132,11020,Intermedia,Álvaro Obregón,2005,97
Metrobús,Olivo,01,33,MB0133,11033,Intermedia,Álvaro Obregón,2005,98
Metrobús,Altavista,01,34,MB0134,11001,Intermedia,Álvaro Obregón,2005,99
Metrobús,La Bombilla,01,35,MB0135,11026,Intermedia,Álvaro Obregón,2005,100
Metrobús,"",01,36,MB0136,11014,Terminal,Álvaro Obregón,2005,101
Metrobús,Ciudad Universitaria,01,37,MB0137,11010,Intermedia,Coyoacán,2008,102
Metrobús,Centro Cultural Universitario,01,38,MB0138,11006,Intermedia,Coyoacán,2008,103
Metrobús,Perisur,01,39,MB0139,11035,Intermedia,Coyoacán,2008,104
Metrobús,Villa Olímpica,01,40,MB0140,11046,Intermedia,Tlalpan,2008,105
Metrobús,Corregidora,01,41,MB0141,11012,Intermedia,Tlalpan,2008,106
Metrobús,Ayuntamiento,01,42,MB0142,11003,Intermedia,Tlalpan,2008,107
Metrobús,Fuentes Brotantes,01,43,MB0143,11021,Intermedia,Tlalpan,2008,108
Metrobús,Santa Úrsula,01,44,MB0144,11043,Intermedia,Tlalpan,2008,109
Metrobús,La Joya,01,45,MB0145,11027,Intermedia,Tlalpan,2008,110
Metrobús,"",01,46,MB0146,11016,Terminal,Tlalpan,2008,111
Metrobús,"",02,01,MB0201,11077,Terminal,Miguel Hidalgo,2008,112
Metrobús,Parque Lira,02,02,MB0202,11070,Intermedia,Miguel Hidalgo,2008,113
Metrobús,Antonio Maceo,02,03,MB0203,11050,Intermedia,Miguel Hidalgo,2008,114
Metrobús,De la Salle,02,04,MB0204,11057,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,115
Metrobús,Patriotismo,02,05,MB0205,11071,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,116
Metrobús,Escandón,02,06,MB0206,11061,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,117
Metrobús,Nuevo León,02,07,MB0207,11069,Transbordo,Cuauhtémoc / Miguel Hidalgo,2008,118
Metrobús,Viaducto,02,08,MB0208,11081,Intermedia,Cuauhtémoc / Benito Juárez,2008,119
Metrobús,Amores,02,09,MB0209,11048,Intermedia,Benito Juárez,2008,120
Metrobús,"",02,10,MB0210,11072,Terminal / Transbordo,Benito Juárez,2008,121
Metrobús,Doctor Vértiz,02,11,MB0211,11059,Intermedia,Benito Juárez,2008,122
Metrobús,Centro SCOP,02,12,MB0212,11054,Intermedia,Benito Juárez,2008,123
Metrobús,Álamos,02,13,MB0213,11047,Intermedia,Benito Juárez,2008,124
Metrobús,Xola,02,14,MB0214,11082,Intermedia,Benito Juárez,2008,125
Metrobús,Las Américas,02,15,MB0215,11066,Intermedia,Benito Juárez,2008,126
Metrobús,Andrés Molina,02,16,MB0216,11049,Intermedia,Iztacalco,2008,127
Metrobús,La Viga,02,17,MB0217,11065,Intermedia,Iztacalco,2008,128
Metrobús,Coyuya,02,18,MB0218,11056,Intermedia,Iztacalco,2008,129
Metrobús,Metro Coyuya,02,19,MB0219,"",Transbordo,Iztacalco,2008,130
Metrobús,Canela,02,20,MB0220,11052,Intermedia,Iztacalco,2008,131
Metrobús,Tlacotal,02,21,MB0221,11079,Intermedia,Iztacalco,2008,132
Metrobús,Goma,02,22,MB0222,11063,Intermedia,Iztacalco,2008,133
Metrobús,Iztacalco,02,23,MB0223,11064,Intermedia,Iztacalco,2008,134
Metrobús,UPIICSA,02,24,MB0224,11080,Intermedia,Iztacalco,2008,135
Metrobús,El Rodeo,02,25,MB0225,11060,Intermedia,Iztacalco,2008,136
Metrobús,Río Tecolutla,02,26,MB0226,11075,Intermedia,Iztapalapa,2008,137
Metrobús,Río Mayo,02,27,MB0227,11074,Intermedia,Iztapalapa,2008,138
Metrobús,Rojo Gómez,02,28,MB0228,11076,Intermedia,Iztapalapa,2008,139
Metrobús,Río Frío,02,29,MB0229,11073,Intermedia,Iztacalco / Iztapalapa,2008,140
Metrobús,Del Moral,02,30,MB0230,11058,Intermedia,Iztapalapa,2008,141
Metrobús,Leyes de Reforma,02,31,MB0231,11067,Intermedia,Iztacalco / Iztapalapa,2008,142
Metrobús,CCH Oriente,02,32,MB0232,11053,Intermedia,Iztacalco / Iztapalapa,2008,143
Metrobús,Constitución de Apatzingán,02,33,MB0233,11055,Intermedia,Iztacalco / Iztapalapa,2008,144
Metrobús,Canal de San Juan,02,34,MB0234,11051,Intermedia,Iztapalapa,2008,145
Metrobús,General Antonio de León,02,35,MB0235,11062,Intermedia,Iztapalapa,2008,146
Metrobús,Nicolás Bravo,02,36,MB0236,11068,Intermedia,Iztapalapa,2008,147
Metrobús,"",02,37,MB0237,11078,Terminal,Iztapalapa,2008,148
Metrobús,"",03,01,MB0301,11112,Terminal,Gustavo A. Madero,2011,149
Metrobús,San José de la Escalera,03,02,MB0302,11111,Intermedia,Gustavo A. Madero,2011,150
Metrobús,Progreso Nacional,03,03,MB0303,11109,Intermedia,Gustavo A. Madero,2011,151
Metrobús,Tres Anegas,03,04,MB0304,11115,Intermedia,Gustavo A. Madero,2011,152
Metrobús,Júpiter,03,05,MB0305,11098,Intermedia,Gustavo A. Madero / Estado de México - Tlalnepantla,2011,153
